order_id,order_date,customer_id,first_name,last_name,email,book_id,title,author_name,publisher_name,price,status_id,status_value
1,2022-09-05 23:04:39,509,Isiahi,Kezourec,ikezourece4@mayoclinic.com,,,,,,1,Order Received
1,2022-09-05 23:04:39,509,Isiahi,Kezourec,ikezourece4@mayoclinic.com,,,,,,1,Order Received
1,2022-09-05 23:04:39,509,Isiahi,Kezourec,ikezourece4@mayoclinic.com,,,,,,1,Order Received
2,2024-07-20 07:23:35,709,Hermia,Donnelly,hdonnellyjo@google.com.au,,,,,,1,Order Received
3,2024-02-29 17:52:16,821,Doretta,Eilhertsen,deilhertsenms@forbes.com,,,,,,1,Order Received
4,2023-12-11 22:07:06,995,Marlee,Vause,mvauserm@discovery.com,,,,,,1,Order Received
5,2023-04-13 08:30:42,1134,,,,,,,,,1,Order Received
6,2024-08-14 23:45:46,1141,,,,,,,,,1,Order Received
7,2023-02-03 03:59:37,1771,,,,,,,,,1,Order Received
8,2023-12-05 19:06:49,818,Chrissy,Lydiate,clydiatemp@msu.edu,,,,,,1,Order Received
9,2023-08-14 04:19:26,929,Beatrix,Deveraux,bdeverauxps@va.gov,,,,,,1,Order Received
10,2022-03-02 19:14:03,1606,,,,,,,,,1,Order Received
11,2024-05-30 03:38:22,344,Mariette,Tulley,mtulley9j@yahoo.co.jp,,,,,,1,Order Received
11,2024-05-30 03:38:22,344,Mariette,Tulley,mtulley9j@yahoo.co.jp,,,,,,1,Order Received
12,2023-02-12 05:08:39,1267,,,,,,,,,1,Order Received
13,2023-04-18 06:05:19,1283,,,,,,,,,1,Order Received
14,2023-05-05 10:29:31,1861,,,,,,,,,1,Order Received
15,2022-08-19 13:39:11,160,Jonis,Loseby,jloseby4f@google.it,7320.0,,,,8.01,1,Order Received
15,2022-08-19 13:39:11,160,Jonis,Loseby,jloseby4f@google.it,7320.0,,,,8.01,1,Order Received
15,2022-08-19 13:39:11,160,Jonis,Loseby,jloseby4f@google.it,7320.0,,,,8.01,1,Order Received
16,2023-09-25 10:05:11,287,Hillery,Hallifax,hhallifax7y@google.pl,,,,,,1,Order Received
16,2023-09-25 10:05:11,287,Hillery,Hallifax,hhallifax7y@google.pl,,,,,,1,Order Received
16,2023-09-25 10:05:11,287,Hillery,Hallifax,hhallifax7y@google.pl,,,,,,1,Order Received
17,2024-01-13 09:52:01,985,Bank,Kiddle,bkiddlerc@virginia.edu,,,,,,1,Order Received
18,2022-11-07 13:48:03,1290,,,,,,,,,1,Order Received
19,2024-08-28 18:30:49,1790,,,,,,,,,1,Order Received
20,2024-09-03 00:39:27,37,Travus,Skirven,tskirven10@google.com,1391.0,,,,0.06,1,Order Received
20,2024-09-03 00:39:27,37,Travus,Skirven,tskirven10@google.com,1391.0,,,,0.06,1,Order Received
21,2023-09-02 02:58:32,1689,,,,,,,,,1,Order Received
22,2022-06-10 15:43:13,1893,,,,,,,,,1,Order Received
23,2023-02-21 21:00:34,554,Jammie,Boosey,jbooseyfd@bbc.co.uk,,,,,,1,Order Received
23,2023-02-21 21:00:34,554,Jammie,Boosey,jbooseyfd@bbc.co.uk,,,,,,1,Order Received
24,2023-07-16 06:47:56,1140,,,,,,,,,1,Order Received
25,2024-09-26 01:11:50,1523,,,,,,,,,1,Order Received
26,2022-12-18 22:39:43,1702,,,,,,,,,1,Order Received
